name,type,hp,card_type,sub_type,evolves_from,attacks,ex_rule,weaknesses,retreat_cost,artist,card_description,set,id,rarity,pack,versions,image,ability
Potion,,,Trainer/Item,,,,,,,5ban Graphics,,Promo-A,Promo--1,,,,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/P-A/P-A_001_EN_SM.webp,
X Speed,,,Trainer/Item,,,,,,,Toyste Beach,,Promo-A,Promo--2,,,,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/P-A/P-A_002_EN_SM.webp,
Hand Scope,,,Trainer/Item,,,,,,,Toyste Beach,,Promo-A,Promo--3,,,,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/P-A/P-A_003_EN_SM.webp,
Potion,,,Trainer/Item,,,,,,,5ban Graphics,,Promo-A,Promo--1,,,,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/P-A/P-A_001_EN_SM.webp,
X Speed,,,Trainer/Item,,,,,,,Toyste Beach,,Promo-A,Promo--2,,,,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/P-A/P-A_002_EN_SM.webp,
Hand Scope,,,Trainer/Item,,,,,,,Toyste Beach,,Promo-A,Promo--3,,,,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/P-A/P-A_003_EN_SM.webp,
Pokédex,,,Trainer/Item,,,,,,,Ryo Ueda,,Promo-A,Promo--4,,,['Promo-A #4'],https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/P-A/P-A_004_EN_SM.webp,
Poké Ball,,,Trainer/Item,,,,,,,Ryo Ueda,,Promo-A,Promo--5,,,"['Promo-A #5', 'Shining Revelry #111 Crown Rare']",https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/P-A/P-A_005_EN_SM.webp,
Red Card,,,Trainer/Item,,,,,,,5ban Graphics,,Promo-A,Promo--6,,,,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/P-A/P-A_006_EN_SM.webp,
Professor's Research,,,Trainer/Supporter,,,,,,,Naoki Saito,,Promo-A,Promo--7,,,,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/P-A/P-A_007_EN_SM.webp,
Pokédex,,,Trainer/Item,,,,,,,Yuu Nishida,,Promo-A,Promo--8,,,['Promo-A #4'],https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/P-A/P-A_008_EN_SM.webp,
Pikachu,Lightning,60,Pokémon,Basic,,"[{'name': 'Gnaw', 'damage': '20', 'energy': ['Electric']}]",,Fighting,1,Atsushi Furusawa,"When it is angered, it immediately discharges the energy stored in the pouches in its cheeks.",Promo-A,Promo--9,,,"['Genetic Apex #94 ◊', 'Promo-A #9', 'Promo-A #15']",https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/P-A/P-A_009_EN_SM.webp,
Mewtwo,Psychic,120,Pokémon,Basic,,"[{'name': 'Power Blast', 'damage': '120', 'energy': ['Psychic', 'Psychic', 'Normal', 'Normal'], 'description': 'Discard 2 [P] Energy from this Pokémon.'}]",,Darkness,2,Krgc,It was created by a scientist after years of horrific gene-splicing and DNA-engineering experiments.,Promo-A,Promo--10,,,['Genetic Apex #128 ◊◊◊'],https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/P-A/P-A_010_EN_SM.webp,
Chansey,Colorless,120,Pokémon,Basic,,"[{'name': 'Gentle Slap', 'damage': '60', 'energy': ['Normal', 'Normal', 'Normal']}]",,Fighting,3,sowsow,This kindly Pokémon lays highly nutritious eggs and shares them with injured Pokémon or people.,Promo-A,Promo--11,,,['Genetic Apex #202 ◊◊'],https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/P-A/P-A_011_EN_SM.webp,
Meowth,Colorless,60,Pokémon,Basic,,"[{'name': 'Pay Day', 'damage': '10', 'energy': ['Normal'], 'description': 'Draw 1 card.'}]",,Fighting,1,Shigenori Negishi,"All it does is sleep during the daytime. At night, it patrols its territory with its eyes aglow.",Promo-A,Promo--12,,,"['Genetic Apex #196 ◊', 'Genetic Apex #246 ☆']",https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/P-A/P-A_012_EN_SM.webp,
