name,type,hp,card_type,sub_type,evolves_from,attacks,ex_rule,weaknesses,retreat_cost,artist,card_description,id,rarity,pack,set,version,image,ability
Exeggcute,Grass,50,Pokémon,Basic,,Growth Spurt attack points: attack energy:C attack description: Take a [G] Energy from your Energy Zone and attach it to this Pokémon.,No,Fire,1,Yuka Morii,"Though it may look like it’s just a bunch of eggs, it’s a proper Pokémon. Exeggcute communicates with others of its kind via telepathy, apparently.",1,◊,Mew pack,Mythical Island (A1a),Mythical Island #1 ◊ Promo-A #60,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_001_EN.webp,
Exeggutor,Grass,130,Pokémon,Stage 1,Exeggcute,Psychic attack points:80+ attack energy:GCCC attack description: This attack does 20 more damage for each Energy attached to your opponent's Active Pokémon.,No,Fire,3,Masakazu Fukuda,Each of Exeggutor’s three heads is thinking different thoughts. The three don’t seem to be very interested in one another.,2,◊◊,Mew pack,Mythical Island (A1a),Mythical Island #2 ◊◊ Mythical Island #69 ☆ Celestial Guardians #214 ☆,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_002_EN.webp,
Celebi ex,Grass,130,Pokémon,Basic,,Powerful Bloom attack points:50x attack energy:GC attack description: Flip a coin for each Energy attached to this Pokémon. This attack does 50 damage for each heads.,No,Fire,1,PLANETA CG Works,,3,◊◊◊◊,Mew pack,Mythical Island (A1a),Mythical Island #3 ◊◊◊◊ Mythical Island #75 ☆☆ Mythical Island #85 ☆☆☆ Extradimensional Crisis #99 ☆☆,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_003_EN.webp,
Snivy,Grass,70,Pokémon,Basic,,Vine Whip attack points:40 attack energy:GC attack description: ,No,Fire,1,Kagemaru Himeno,Being exposed to sunlight makes its movements swifter. It uses vines more adeptly than its hands.,4,◊,Mew pack,Mythical Island (A1a),Mythical Island #4 ◊,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_004_EN.webp,
Servine,Grass,80,Pokémon,Stage,1     Snivy,Vine Whip attack points:50 attack energy:GC attack description: ,No,Fire,1,Shigenori Negishi,"It moves along the ground as if sliding. Its swift movements befuddle its foes, and it then attacks with a vine whip.",5,◊◊,Mew pack,Mythical Island (A1a),Mythical Island #5 ◊◊,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_005_EN.webp,
Serperior,Grass,110,Pokémon,Stage 2,Servine,Solar Beam attack points:70 attack energy:GCCC attack description: ,No,Fire,2,Yoshioka,It only gives its all against strong opponents who are not fazed by the glare from Serperior’s noble eyes.,6,◊◊◊,Mew pack,Mythical Island (A1a),Mythical Island #6 ◊◊◊ Mythical Island #70 ☆,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_006_EN.webp,Jungle Totem Each [G] Energy attached to your [G] Pokémon provides 2 [G] Energy. This effect doesn't stack.
Morelull,Grass,60,Pokémon,Basic,,Ram attack points:20 attack energy:G attack description: ,No,Fire,1,Saya Tsuruta,Pokémon living in the forest eat the delicious caps on Morelull’s head. The caps regrow overnight.,7,◊,Mew pack,Mythical Island (A1a),Mythical Island #7 ◊,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_007_EN.webp,
Shiinotic,Grass,90,Pokémon,Stage 1,Morelull,Flickering Spores attack points:50 attack energy:GG attack description: Your opponent's Active Pokémon is now Asleep.,No,Fire,2,Mizue,"Its flickering spores lure in prey and put them to sleep. Once this Pokémon has its prey snoozing, it drains their vitality with its fingertips.",8,◊◊,Mew pack,Mythical Island (A1a),Mythical Island #8 ◊◊,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_008_EN.webp,
Dhelmise,Grass,100,Pokémon,Basic,,"Energy Whip attack points:20+ attack energy:G attack description: If this Pokémon has at least 3 extra [G] Energy attached, this attack does 70 more damage.",No,Fire,2,Hasuno,"After a piece of seaweed merged with debris from a sunken ship, it was reborn as this ghost Pokémon.",9,◊◊,Mew pack,Mythical Island (A1a),Mythical Island #9 ◊◊,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_009_EN.webp,
Ponyta,Fire,60,Pokémon,Basic,,"Stomp attack points:10+ attack energy:R attack description: Flip a coin. If heads, this attack does 30 more damage.",No,Water,1,Tomokazu Komiya,"It can’t run properly when it’s newly born. As it races around with others of its kind, its legs grow stronger.",10,◊,Mew pack,Mythical Island (A1a),Mythical Island #10 ◊,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_010_EN.webp,
